trade_date,Binance_Coin,Bitcoin,Bitcoin_Cash,Bitcoin_SV,Cardano,Chainlink,Crypto_com_Coin,EOS,Ethereum,Huobi_Token,Litecoin,Monero,NEO,Stellar,Tether,Tezos,TRON,UNUS_SED_LEO,USD_Coin,XRP
2020-01-09,-0.685,-2.485,-0.763,3.127,-0.209,0.459,-3.61,-1.075,-1.614,-0.326,-0.942,-0.437,-0.944,-4.637,1,-3.008,-0.043,-3.513,1,-1.974
2020-01-10,3.655,3.649,13.172,45.371,1.416,1.37,4.435,7.609,3.583,1.634,7.762,-1.064,4.449,-0.121,-0.99,1.55,3.918,0.073,-0.99,3.615
2020-01-11,-0.532,-1.58,-3.712,-11.936,-0.133,2.703,-0.519,0.673,-0.715,1.608,1.088,-0.205,-1.42,2.468,0,0,0,-1.246,0,-0.214
2020-01-12,2.475,1.928,2.9,9.474,2.349,-1.316,2.154,6.689,2.057,-2.215,3.695,1.488,5.658,1.624,0,0,2.477,1.286,0,1.785
2020-01-13,-0.587,-0.59,-0.268,5.648,-1.921,-2.667,0.226,-2.508,-1.124,-1.294,-2.643,-2.208,-2.045,-0.408,0,-2.29,-1.803,-2.743,0,-1.399
2020-01-14,9.192,8.393,30.929,142.494,12.698,9.132,6.047,23.151,15.066,6.23,17.595,8.292,11.73,8.298,0,3.906,13.695,5.815,0,10.38
2020-01-15,6.133,-0.235,-3.101,-26.016,2.144,0.418,4.295,-1.567,0.163,1.235,-0.735,8.787,1.601,5.131,-0.034,0.752,3.373,1.289,0,-0.764
2020-01-16,-3.229,-0.945,-3.954,0.038,-2.731,3.333,1.187,1.592,-1.107,-1.22,-0.741,-3.892,-1.313,-1.9,-0.043,11.194,-0.955,-4.893,0,-1.855
2020-01-17,6.206,2.353,12.577,-8.463,8.666,9.677,2.209,2.35,3.887,1.235,6.716,5.329,5.501,11.729,0.077,-0.671,3.195,3.77,0,4.463
2020-01-18,-1.764,0.154,-7.592,-12.992,-0.282,1.838,0.382,-2.551,2.688,-1.829,-3.383,-2.877,0.084,1.837,0,0.676,0.283,1.822,1,1.889
2020-01-19,-2.525,-2.645,-0.239,11.128,-6.403,-5.415,-1.997,-5.236,-4.79,-2.174,-2.71,-3.066,-5.546,-1.817,-0.146,-4.698,-6.187,-4.209,-1.258,-3.165
2020-01-20,-0.23,-0.558,1.626,8.948,4.512,3.053,1.691,-0.276,0.09,0.635,-1.038,-0.215,-0.89,3.331,0.147,11.972,0.036,-0.21,0.272,-0.972
2020-01-21,4.616,1.019,-0.113,4.253,4.823,-1.111,1.02,1.385,1.544,2.839,0.787,1.493,0.718,0.606,0,-3.774,4.102,3.229,0,1.659
2020-01-22,-1.82,-0.743,1.109,-1.787,-0.728,-0.749,0.955,-0.273,-0.831,-0.307,1.214,-1.41,0.178,-4.055,0,3.922,0.26,-0.625,0,-0.468
2020-01-24,0.176,0.463,-1.647,3.025,3.854,1.626,0.441,1.961,0.074,-0.319,-0.183,-1.231,-0.472,-3.266,0.159,-1.935,0.972,1.175,0,-1.355
2020-01-25,-0.411,-0.919,-2.554,-1.921,-3.902,-1.6,-1,-3.022,-1.086,-0.962,-1.522,-0.389,-1.518,-2.206,0,-1.316,-1.292,-0.546,0,-1.172
2020-01-26,2.709,2.736,11.447,4.716,3.082,4.472,2.564,3.399,4.216,1.942,4.674,3.82,3.95,4.52,0,1.333,3.735,-1.303,1,4.654
2020-01-27,1.433,3.641,4.51,9.537,7.472,1.556,3.537,8.493,1.696,1.587,4.537,2.677,3.058,1.832,0,0.658,1.97,0.355,0.99,0.232
2020-01-28,2.431,5.037,4.47,-1.861,10.321,1.916,6.599,2.273,3.183,1.562,3.251,3.263,2.338,1.103,0,1.307,8.631,0.305,0,3.142
2020-01-29,-1.159,-0.448,0.702,-2.304,1.243,4.887,-0.547,-1.728,-0.748,4.308,-0.972,3.426,-1.142,2.381,0,1.29,0.371,0.175,0.98,-1.156
2020-01-30,3.797,2.065,3.001,3.768,4.776,4.301,1.653,9.045,5.507,3.245,13.449,7.053,4.356,-0.862,0,7.006,4.368,-2.014,0.971,3.356
2020-01-31,-2.044,-1.666,-4.474,-8.841,-4.061,-3.093,0.73,-4.608,-2.453,-1.714,-0.411,-3.854,-2.3,0.567,0,-1.19,-4.19,-1.641,-0.962,-1.81
2020-02-01,0.055,0.453,1.497,2.294,4.274,0.709,-1.205,0.483,1.948,0.872,4.331,1.734,-0.262,-1.761,0,4.819,2.045,-0.072,0,0.929
2020-02-02,1.262,-0.516,-0.719,-0.685,-0.578,-0.352,2.935,1.442,2.695,0.288,-0.833,2.318,5.507,4.791,0,9.77,0.378,1.808,0,3.843
2020-02-03,0.054,-0.544,1.483,1.442,2.171,-2.12,-1.172,-0.474,0.663,-0.862,-0.641,2.372,-1.574,1.095,-0.109,4.712,0.429,-0.469,0,1.553
2020-02-04,-1.517,-1.211,-0.854,-3.088,-1.725,-1.083,4.405,1.19,-0.327,-0.58,-2.264,-2.018,2.441,3.481,0.109,-4,0.224,1.59,-0.971,4.784
2020-02-05,5.721,4.71,16.135,9.858,5.777,4.015,4.158,6.353,7.915,4.373,6.29,3.614,4.766,3.684,0,11.458,7.866,0.861,0.98,3.995
2020-02-06,7.18,1.211,0.176,-1.081,0.888,1.053,1.271,1.327,3.971,3.352,1.242,0.128,1.02,2.629,-0.278,0.935,8.466,-0.3,-0.971,1.71
2020-02-07,7.087,0.68,-0.687,0.017,0.055,14.931,0.393,0.437,4.893,5.405,1.322,1.895,-0.699,1.538,0.054,1.389,-2.103,2.611,0,-1.038
2020-02-08,-1.269,0.706,0.855,13.713,0.258,3.021,0.318,3.478,0.189,-1.795,2.838,1.382,-0.704,-1.078,0.179,4.566,-0.947,1.074,0,-0.731
2020-02-09,11.616,2.55,1.42,4.116,3.111,2.053,3.724,5.252,2.433,3.655,0.811,8.615,11.339,2.778,0.047,15.284,0.833,3.142,0,1.881
2020-02-10,3.743,-2.571,0.685,0.648,-2.289,-2.011,-1.682,-1.996,-2.214,18.64,-3.567,-3.196,-3.819,-2.7,0,-0.758,0.885,3.178,0,-2.966
2020-02-11,1.665,3.567,1.848,3.133,,16.716,3.094,6.925,5.516,-1.486,3.04,5.895,1.324,4.073,-0.158,10.687,2.029,3.401,-0.98,2.211
2020-02-12,3.237,1.154,3.083,0.914,8.137,1.256,2.839,1.905,12.533,5.172,6.136,6.034,7.547,8.542,0.158,14.483,5.886,-0.971,1.98,8.657
2020-02-13,-3.891,-1.081,-0.244,-2.094,0.304,-3.97,3.097,-0.187,1.014,-2.254,-1.107,-2.919,2.024,3.267,-0.142,-6.024,-0.65,-1.961,-0.971,7.33
2020-02-14,3.381,0.957,3.55,0.376,2.915,13.953,4.649,0.375,6.013,5.66,3.221,2.552,10.317,3.8,0.142,11.218,10.336,-1.494,0,2.484
2020-02-15,-8.175,-4.099,-10.893,-13.96,-9.517,-2.494,-9.669,-11.567,-6.857,-2.976,-7.808,-6.275,-10.072,-7.634,-0.087,-8.357,-10.405,-1.861,-0.98,-8.538
2020-02-16,-2.816,0.455,-4.963,-7.808,-1.893,4.651,-0.78,-6.962,-1.828,3.476,-1.778,-0.506,-1.533,-5.258,0.014,2.201,-4.757,0.125,0,-3.658
2020-02-17,0.341,-2.459,-1.587,8.245,-4.169,-4.444,-6.259,-1.361,2.49,-6.324,-2.528,-6.808,1.557,-4.299,-0.08,-3.077,-3.276,1.397,0,-2.868
2020-02-18,2.166,4.663,2.328,-0.107,4.255,5.581,6.066,5.517,5.849,4.641,5.174,4.49,3.067,3.884,0.153,9.524,3.875,0.399,0.99,3.957
